Id;Band;Title;Cover;plays;Spotify;Albums;;;;;;;;
19;Lily Allen ; Air Balloon;http://userserve-ak.last.fm/serve/126/99128811.png;337657;0BmIb7qf0IIx9Lmvf6a28T;http://www.lastfm.it//music/Lily+Allen/Sheezus;http://www.lastfm.it//music/Lily+Allen/Air+Balloon;http://www.lastfm.it//music/Lily+Allen/Sheezus+(Special+Edition);http://www.lastfm.it//music/Various+Artists/BRAVO+Hits+85;;;;;
20;Muse ; Starlight;http://userserve-ak.last.fm/serve/126/88400305.png;11483534;0hlK03xCSPtLSFJdlZM2kZ;http://www.lastfm.it//music/Muse/Black+Holes+and+Revelations;http://www.lastfm.it//music/Muse/Black+Holes+&+Revelations;http://www.lastfm.it//music/Daughtry/Rocked+07;http://www.lastfm.it//music/Muse/Starlight;;;;;
21;Imagine Dragons ; On Top of the World;http://userserve-ak.last.fm/serve/126/87897873.png;2927020;00reVcwpg6Z9ERNHlaJ0XI;http://www.lastfm.it//music/Imagine+Dragons/Night+Visions;http://www.lastfm.it//music/Imagine+Dragons/Continued+Silence+EP;http://www.lastfm.it//music/Imagine+Dragons/Night+Visions+Live;http://www.lastfm.it//music/Various+Artists/Bravo+Hits+83;;;;;
22;Bruno Mars ; Locked Out of Heaven;http://userserve-ak.last.fm/serve/126/92206107.png;3247346;0S9a8ifRBeyAqmlVViFBX2;http://www.lastfm.it//music/Bruno+Mars/Unorthodox+Jukebox;http://www.lastfm.it//music/Bruno+Mars/Locked+Out+Of+Heaven;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music!+84;http://www.lastfm.it//music/Various+Artists/BRIT+Awards+2013;;;;;
23;The Fray ; Closer to Me;http://userserve-ak.last.fm/serve/126/94901429.png;30380;5l9h7ALxmFWHxdFRB8ybiq;0;;;;;;;;
23;Muse ; Uprising;http://userserve-ak.last.fm/serve/126/65553108.png;7506200;17La0hyzJb6b88fYEwQW2d;http://www.lastfm.it//music/Muse/The+Resistance;http://www.lastfm.it//music/Muse/Uprising;http://www.lastfm.it//music/Muse/Live+At+Rome+Olympic+Stadium;http://www.lastfm.it//music/Muse/The+Resistance+(Instrumental);;;;;
25;Justin Timberlake ; Take Back the Night;http://userserve-ak.last.fm/serve/126/91487555.png;520580;0HhaXYlhCASEyQG9BS8in8;http://www.lastfm.it//music/Justin+Timberlake/Take+Back+the+Night;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+2+of+2;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+The+Complete+Experience;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+2+of+2+(Deluxe);;;;;
26;The Fray ; Keep On Wanting;http://userserve-ak.last.fm/serve/126/94901429.png;29751;1CREYYq1k6c2JTo2WeFF4o;0;;;;;;;;
27;Justin Timberlake ; Cry Me a River;http://userserve-ak.last.fm/serve/126/87945803.png;3404670;024YU7tQQUDkLLFXlarP4X;http://www.lastfm.it//music/Justin+Timberlake/Justified;http://www.lastfm.it//music/C%C3%A9line+Dion/World%27s+Best+Mum;http://www.lastfm.it//music/Michael+Woods/Hits+57;http://www.lastfm.it//music/Justin+Timberlake/Greatest+Hits;;;;;
28;Bruno Mars ; When I Was Your Man;http://userserve-ak.last.fm/serve/126/92206107.png;2029982;0nJW01T7XtvILxQgC5J7Wh;http://www.lastfm.it//music/Bruno+Mars/Unorthodox+Jukebox;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+30+Years;http://www.lastfm.it//music/Various+Artists/Bravo+Hits+81;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music!+47;;;;;
