Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
24;Wolfenstein: The New Order; http://assets1.ignimgs.com/2014/05/21/wolftnofinalboxflatpcbox1jpg-9586dd_160h.jpg;Shooter;PC Xbox 360 PS4 PS3;Bethesda;Far Cry 4;Call of Duty: Black Ops II;Counter-Strike: Global Offensive;Far Cry 4;Dark Souls II;Thief;;;
25;A Boy and His Blob 3DS;;Platformer;3DS;Majesco;New Super Mario Bros. 2;Luigi's Mansion: Dark Moon;Super Mario 3D Land;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
26;Valiant Hearts: The Great War;http://assets1.ignimgs.com/2013/09/10/valheartsps4jpg-e9461d_160h.jpg;Puzzle;PS4 PC PS3 Xbox 360;Ubisoft;The Witness;Never Alone;Road Not Taken;Middle-earth: Shadow of Mordor;Assassin's Creed Unity;Assassin's Creed IV: Black Flag;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
27;A Boy and His Blob: Jelly's Cosmic Adventure;;Action;GBA NDS;Majesco;The Legend of Zelda: The Minish Cap;Metroid Fusion;Dragon Ball Z: The Legacy of Goku;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
28;RBI Baseball 14;http://assets2.ignimgs.com/2014/04/15/rbi-baseball-2014-button-02jpg-f16ced_160h.jpg;Baseball;Xbox One PS4 iPhone PS3 Android;TBA;Halo 5: Guardians;Titanfall;Killer Instinct;;;;;;
29;Guild Wars 2;http://media.ign.com/games/image/object/896/896298/Guild-Wars-2_US_ESRB_PC-standardboxart_160h.jpg;RPG;PC Mac;NCsoft;Dragon Age: Inquisition;WildStar;The Witcher 3: Wild Hunt;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
30;Assassin's Creed Unity;http://assets2.ignimgs.com/2014/03/21/assassins-creed-unity-button-02jpg-e31c57_160h.jpg;Action;Xbox One PS4 PC;Ubisoft;Destiny;Watch Dogs;The Amazing Spider-Man 2;Middle-earth: Shadow of Mordor;Valiant Hearts: The Great War;Mirror's Edge [reboot];Halo 5: Guardians;Titanfall;Killer Instinct
31;The Golf Club;http://assets1.ignimgs.com/2014/01/23/the-golf-club-butt-00jpg-886d44_160h.jpg;Sports;PS4 Xbox One PC;HB;MLB 14: The Show;Madden NFL 15;NHL 15;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
32;Murdered: Soul Suspect;http://assets1.ignimgs.com/2014/04/01/murdreredsoulsuspectxboxonejpg-0a5b5f_160h.jpg;Adventure;Xbox One PC PS4 PS3;Square;The Evil Within;Below;Sherlock Holmes: Crimes & Punishments;Halo 5: Guardians;Titanfall;Killer Instinct;;;
33;A Boy and His Blob: Trouble on Blobolonia;http://xbox360media.ign.com/xbox360/image/object/053/053147/A-Boy-and-His-Blob_VC-2010verboxart_160h.jpg;Puzzle;Wii NES;Jaleco;Boom Blox;Angry Birds;World of Goo;Mario Kart Wii;Boom Blox;NBA Jam;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
34;Plants vs. Zombies: Garden Warfare;http://assets2.ignimgs.com/2013/07/03/plants-vs-zombies-garden-warfaregeneraljpg-30c224_160h.jpg;Shooter;PC Xbox One PS4 Xbox 360;Electronic;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
