Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
328;The Amazing Spider-Man 2;http://assets1.ignimgs.com/2014/03/03/amazing-spider-man-2-us-esrb-xboxonejpg-df0feb_160h.jpg;Action;Xbox One PS4 Wii U PC 3DS Xbox 360;Activision;Destiny;Assassin's Creed Unity;Watch Dogs;Halo 5: Guardians;Titanfall;Killer Instinct;;;
329;FIFA Soccer 13;http://xbox360media.ign.com/xbox360/image/object/115/115691/fifas13x360pftfront1boxart_160h.jpg;Sports;Xbox 360 3DS Wii Android PSP PC iPad PS3 Vita iPhone;Electronic;Madden NFL 13;2014 FIFA World Cup Brazil;NBA 2K13;Watch Dogs;Diablo III;Borderlands 2;;;
330;Alien: Isolation;http://assets2.ignimgs.com/2014/03/31/alien-isolation-generaljpg-0a5ab5_160h.jpg;Action;PS4 PS3 PC Xbox 360;SEGA;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
331;USGA Great American Golf 2;;Sports;CD-i;Philips;Labyrinth of Crete;ABC Sports Presents: Power Hitter;ABC Sports Presents: The Palm Springs Open;Zelda's Adventure;Atlantis: The Last Resort;Dragon's Lair II: Time Warp;;;
332;Batman: Arkham Knight;http://assets1.ignimgs.com/2014/03/04/batman-arkham-knight-generaljpg-56a25c_160h.jpg;Action;PC PS4 Xbox One;Warner;Dark Souls II;Alien: Isolation;Assassin's Creed III;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
333;The Unfinished Swan;http://media.ign.com/games/image/object/133/133433/Unfinished-Swan_PS3-Game_v2boxart_160h.jpg;Puzzle;PS3;Sony;Valiant Hearts: The Great War;Quantum Conundrum;Closure;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
334;Alien: Isolation;http://assets2.ignimgs.com/2014/03/31/alien-isolation-generaljpg-0a5ab5_160h.jpg;Action;Xbox 360 PS3 PS4 PC;SEGA;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
335;Labyrinth of Crete;;Sports;CD-i;Philips;USGA Great American Golf 2;ABC Sports Presents: Power Hitter;ABC Sports Presents: The Palm Springs Open;Zelda's Adventure;Atlantis: The Last Resort;Dragon's Lair II: Time Warp;;;
336;Quantum Conundrum;http://ps3media.ign.com/ps3/image/object/116/116244/Quantum-Conundrum_PS3-Game_v0boxart_160h.jpg;Puzzle;PS3 Xbox 360 PC;Square;Valiant Hearts: The Great War;The Unfinished Swan;Closure;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
337;Batman: Arkham Knight;http://assets1.ignimgs.com/2014/03/04/batman-arkham-knight-generaljpg-56a25c_160h.jpg;Action;Xbox One PC PS4;Warner;Destiny;Assassin's Creed Unity;Watch Dogs;Halo 5: Guardians;Titanfall;Killer Instinct;;;
338;Diablo III;http://assets2.ignimgs.com/2013/07/30/diabloiiips3jpg-881f98_160h.jpg;Action;PS3 PC Mac Xbox 360;Blizzard;Grand Theft Auto V;Middle-earth: Shadow of Mordor;The Witch and the Hundred Knight;The Witch and the Hundred Knight;Borderlands 2;Borderlands: The Pre-Sequel;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster
339;ABC Sports Presents: Power Hitter;;Sports;CD-i;Philips;USGA Great American Golf 2;Labyrinth of Crete;ABC Sports Presents: The Palm Springs Open;Zelda's Adventure;Atlantis: The Last Resort;Dragon's Lair II: Time Warp;;;
340;Closure;http://media.ign.com/games/image/object/116/116598/Closure_PS3-Gameboxart_160h.jpg;Puzzle;PS3 PC Mac;Eyebrow;Valiant Hearts: The Great War;The Unfinished Swan;Quantum Conundrum;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
341;Diablo III;http://ps3media.ign.com/ps3/image/object/142/14262999/Diablo-3_PC_US_ESRB-finboxart_160h.jpg;Action;Mac PS3 PC Xbox 360;Blizzard;Tomb Raider;Hotline Miami 2: Wrong Number;Mighty No. 9;The Incredible Adventures of Van Helsing;Borderlands;Diablo II: Lord of Destruction;Tomb Raider;Tales from the Borderlands;Among the Sleep
342;Wolfenstein: The New Order;http://assets2.ignimgs.com/2014/05/21/wolftnofinalboxflatx360box1jpg-9586df_160h.jpg;Shooter;Xbox 360 PS4 PC PS3;Bethesda;Borderlands 2;Halo 4;Gears of War: Judgment;Watch Dogs;Diablo III;Borderlands 2;;;
343;Zelda's Adventure;http://media.gamestats.com/gg/image/object/017/017125/zeldasadventure_cdiboxboxart_160h.jpg;Action;CD-i;Philips;Dragon's Lair II: Time Warp;Earth Command;Pac-Panic;Voyeur;Atlantis: The Last Resort;Dragon's Lair II: Time Warp;Astrology;;
344;Bound by Flame;http://assets2.ignimgs.com/2014/03/31/boundbyflame3601jpg-0a5acc_160h.jpg;Action;Xbox 360 PC PS4 PS3;Focus;Watch Dogs;Diablo III;Assassin's Creed III;Diablo III;Borderlands 2;Fable: The Journey;Watch Dogs;Diablo III;Borderlands 2
345;Sid Meier's Civilization: Beyond Earth;http://assets2.ignimgs.com/2014/04/12/civilization-beyond-earth-generaljpg-0a64e3_160h.jpg;Simulation;Linux PC Mac;2K;Love & Order;Gone Home;The Bridge Construction Set;Mighty No. 9;Soul Saga;Plague Inc. Evolved;;;
346;Wolfenstein: The New Order;http://assets2.ignimgs.com/2014/04/14/wolfenstein-the-new-order-doom-packin-us-rp-ps4jpg-0a6578_160h.jpg;Shooter;PS4 Xbox 360 PC PS3;Bethesda;Tom Clancy's The Division;Far Cry 4;Destiny;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
347;Atlantis: The Last Resort;;Shooter;CD-i;Philips;Mad Dog McCree;Crime Patrol 2: Drug Wars;Chaos Control;Zelda's Adventure;Dragon's Lair II: Time Warp;Astrology;;;
348;Fable: The Journey;http://ps3media.ign.com/ps3/image/object/027/027948/fablethejourney1360boxart_160h.jpg;Action;Xbox 360;Microsoft;Watch Dogs;Diablo III;Assassin's Creed III;Diablo III;Borderlands 2;Bound by Flame;Watch Dogs;Diablo III;Borderlands 2
349;Wolfenstein: The New Order;http://assets2.ignimgs.com/2014/04/14/wolfenstein-the-new-order-doom-packin-us-rp-ps3jpg-0a6577_160h.jpg;Shooter;PS3 Xbox 360 PS4 PC;Bethesda;Call of Duty: Black Ops II;Borderlands 2;Dust 514;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
350;Sid Meier's Civilization: Beyond Earth;http://assets2.ignimgs.com/2014/04/12/civilization-beyond-earth-generaljpg-0a64e3_160h.jpg;Simulation;Mac Linux PC;2K;The Sims 3;The Sims Medieval;The Sims 3 Plus Pets;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
351;Dragon's Lair II: Time Warp;;Action;CD-i Arcade Saturn DVD PS2 3DO Xbox Mac PSP PC Amiga ST PC NDS;Readysoft;Zelda's Adventure;Earth Command;Pac-Panic;Zelda's Adventure;Atlantis: The Last Resort;Astrology;;;
352;Evolve;http://assets2.ignimgs.com/2014/02/28/evolve-us-rp-generaljpg-df0e8f_160h.jpg;Shooter;PS4 Xbox One PC;2K;Tom Clancy's The Division;Far Cry 4;Wolfenstein: The New Order;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
353;SimCity;http://assets2.ignimgs.com/2013/08/06/simcity-pc-retailjpg-882230_160h.jpg;Simulation;PC Mac;Electronic;Sid Meier's Civilization: Beyond Earth;The Sims 3: Supernatural;The Sims 3;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
354;Guild Wars 2;http://media.ign.com/games/image/object/143/143194/Guild-Wars-2_US_ESRB_PC-standardboxart_160h.jpg;RPG;Mac PC;NCsoft;The Elder Scrolls Online;Soul Saga;World of Warcraft: Mists of Pandaria;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
355;Need for Speed Most Wanted;http://media.ign.com/games/image/object/135/135486/Need-for-Speed-Most-Wanted-2012_US_ESRB_X360boxart_160h.jpg;Racing;Xbox 360 Vita Wii U iPhone Android PC;Electronic;Forza Horizon;Trials Evolution;Forza Motorsport 4;Disney Fantasia: Music Evolved;Guacamelee! Super Turbo Championship Edition;Sonic & All-Stars Racing Transformed;Watch Dogs;Diablo III;Borderlands 2
356;Evolve;http://assets2.ignimgs.com/2014/02/28/evolve-us-rp-generaljpg-df0e8f_160h.jpg;Shooter;PC PS4 Xbox One;2K;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
357;The Sims 3: Supernatural;http://media.ign.com/games/image/object/136/136180/Sims-3-Supernatural_PCMACboxart_160h.jpg;Simulation;PC Mac;Electronic;Sid Meier's Civilization: Beyond Earth;SimCity;The Sims 3;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
358;Guild Wars 2 (Collector's Edition);http://media.ign.com/games/image/object/130/130097/Guild-Wars-2_US_ESRB_PC-Collectorsboxart_160h.jpg;RPG;PC;NCsoft;Dragon Age: Inquisition;WildStar;The Witcher 3: Wild Hunt;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
359;Harvest Moon: A New Beginning;http://dsmedia.ign.com/ds/image/object/120/120299/HarvestMoonANewBeginning3DSFinalBoxartboxart_160h.jpg;Adventure;3DS;Natsume;The Legend of Zelda: A Link Between Worlds;Heroes of Ruin;Professor Layton and the Miracle Mask;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
360;Disney Fantasia: Music Evolved;http://assets1.ignimgs.com/2013/06/04/fantasia-music-evolvedusrpx360jpg-30b447_160h.jpg;Music;Xbox 360 Xbox One;Disney;Dance Central 3;Rock Band Blitz;Dance Central;Need for Speed Most Wanted;Guacamelee! Super Turbo Championship Edition;Sonic & All-Stars Racing Transformed;Watch Dogs;Diablo III;Borderlands 2
361;Assassin's Creed Unity;http://assets2.ignimgs.com/2014/03/21/assassins-creed-unity-button-02jpg-e31c57_160h.jpg;Action;PC PS4 Xbox One;Ubisoft;Dark Souls II;Alien: Isolation;Assassin's Creed III;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
362;The Sims 3;http://media.ign.com/games/image/object/802/802129/TheSims3_BoxArt_STANDARD_ESRBboxart_160h.jpg;Simulation;PC Android Cell PS3 Mac NDS Xbox 360 iPhone Wii 3DS;Electronic;Sid Meier's Civilization: Beyond Earth;SimCity;The Sims 3: Supernatural;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
363;Heroes of Ruin;http://xbox360media.ign.com/xbox360/image/object/109/109798/heroes_of_ruin_3ds1boxart_160h.jpg;Adventure;3DS;Square;The Legend of Zelda: A Link Between Worlds;Harvest Moon: A New Beginning;Professor Layton and the Miracle Mask;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
364;Middle-earth: Shadow of Mordor;http://assets2.ignimgs.com/2014/04/02/shadowofmordorfobxboxonejpg-e32156_160h.jpg;Action;Xbox One PC PS3 PS4;Warner;Destiny;Assassin's Creed Unity;Watch Dogs;Assassin's Creed Unity;Valiant Hearts: The Great War;Mirror's Edge [reboot];Halo 5: Guardians;Titanfall;Killer Instinct
365;Guacamelee! Super Turbo Championship Edition;http://assets2.ignimgs.com/2014/03/06/guacamelee-x360jpg-f1d0fd_160h.jpg;Platformer;Xbox 360 PS3 Wii U Vita Xbox One PS4;DrinkBox;Dust: An Elysian Tail;Spelunky;Fez;Need for Speed Most Wanted;Disney Fantasia: Music Evolved;Sonic & All-Stars Racing Transformed;Watch Dogs;Diablo III;Borderlands 2
366;Ys: Memories of Celceta;http://assets2.ignimgs.com/2013/11/12/yesvita110jpg-885160_160h.jpg;Action;Vita;Xseed;Assassin's Creed III: Liberation;Uncharted: Golden Abyss;Metal Gear Solid HD Collection;Borderlands 2;Warrior's Lair;Disgaea 3: Absence of Detention;Borderlands 2;Tearaway;Call of Duty: Black Ops Declassified
367;Valiant Hearts: The Great War;http://assets1.ignimgs.com/2013/09/10/valheratsxblajpg-883294_160h.jpg;Puzzle;Xbox One PC Xbox 360 PS3;Ubisoft;Never Alone;Tetris 2014;Mortar Melon;Assassin's Creed Unity;Middle-earth: Shadow of Mordor;Mirror's Edge [reboot];Halo 5: Guardians;Titanfall;Killer Instinct
368;Professor Layton and the Miracle Mask;http://ps3media.ign.com/ps3/image/object/077/077742/proflaytonmmask3ds1boxart_160h.jpg;Adventure;3DS;Nintendo;The Legend of Zelda: A Link Between Worlds;Harvest Moon: A New Beginning;Heroes of Ruin;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
369;Assassin's Creed III: Liberation;http://pspmedia.ign.com/ps-vita/image/object/115/115670/ACLIB_PSVita_BXSHT1boxart_160h.jpg;Action;Vita;Ubisoft;Ys: Memories of Celceta;Uncharted: Golden Abyss;Metal Gear Solid HD Collection;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
370;Limbo;http://media.ign.com/games/image/object/125/125535/Limbo_MACDLboxart_160h.jpg;Platformer;Mac PS3 PC Xbox 360 iPhone Vita;PlayDead;Dustforce;Braid;Finding Nemo;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
371;Mirror's Edge [reboot];http://assets1.ignimgs.com/2013/06/11/mirrors-edge-rebootgeneraljpg-50e970_160h.jpg;Action;Xbox One PC PS4;Electronic;Destiny;Assassin's Creed Unity;Watch Dogs;Assassin's Creed Unity;Middle-earth: Shadow of Mordor;Valiant Hearts: The Great War;Halo 5: Guardians;Titanfall;Killer Instinct
372;Uncharted: Golden Abyss;http://media.ign.com/games/image/object/019/019533/Uncharted-Golden-Abyss_PSV_US_ESRBboxart_160h.jpg;Action;Vita;Sony;Ys: Memories of Celceta;Assassin's Creed III: Liberation;Metal Gear Solid HD Collection;Oddworld: Stranger's Wrath HD;LEGO Batman 2: DC Super Heroes;Retro City Rampage;Borderlands 2;Tearaway;Ys: Memories of Celceta
373;Assassin's Creed III;http://xbox360media.ign.com/xbox360/image/object/110/110823/AC3_WiiU_BXSHT_1boxart_160h.jpg;Action;Wii U PC Xbox 360 PS3;Ubisoft;Batman: Arkham Origins;Watch Dogs;The Amazing Spider-Man 2;Oddworld: Stranger's Wrath HD;Assassin's Creed IV: Black Flag;Skylanders Trap Team;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins
374;Below;http://assets2.ignimgs.com/2013/06/14/belowgeneraljpg-30bc56_160h.jpg;Adventure;Xbox One PC;Capybara;The Evil Within;Murdered: Soul Suspect;Sherlock Holmes: Crimes & Punishments;Halo 5: Guardians;Titanfall;Killer Instinct;;;
375;Dustforce;http://assets1.ignimgs.com/2013/09/18/dustforce-generaljpg-e94924_160h.jpg;Platformer;Mac PS3 PC Vita;Hitbox;Limbo;Braid;Finding Nemo;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
376;Borderlands 2;http://assets2.ignimgs.com/2014/03/31/borderlands2vitajpg-e32022_160h.jpg;Shooter;Vita Xbox 360 Mac PC;Sony;Call of Duty: Black Ops Declassified;Killzone: Mercenary;Resistance: Burning Skies;Ys: Memories of Celceta;Warrior's Lair;Disgaea 3: Absence of Detention;Tearaway;Ys: Memories of Celceta;Call of Duty: Black Ops Declassified
377;Assassin's Creed III (Limited Edition);;Action;Xbox 360;Ubisoft;Watch Dogs;Diablo III;Resident Evil 6;Resident Evil 6;Valiant Hearts: The Great War;Dead Space 3;Watch Dogs;Diablo III;Borderlands 2
378;Sherlock Holmes: Crimes & Punishments;http://media.ign.com/games/image/object/163/163242/Sherlock-Homes_Poster-0000boxart_160h.jpg;Adventure;Xbox One Xbox 360 PS4 PS3;Focus;The Evil Within;Murdered: Soul Suspect;Below;Halo 5: Guardians;Titanfall;Killer Instinct;;;
379;Castlevania: Aria of Sorrow;http://media.gamestats.com/gg/image/object/498/498341/CastlevaniaAriaofsorrow_GBABOXboxart_160h.jpg;Action;GBA Cell;Konami;The Legend of Zelda: The Minish Cap;Metroid Fusion;Dragon Ball Z: The Legacy of Goku;The Legend of Zelda: The Minish Cap;Metroid Fusion;Metroid: Zero Mission;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version
380;Tearaway;http://assets1.ignimgs.com/2013/11/01/tearaway1jpg-884c46_160h.jpg;Adventure;Vita;Sony;Silent Hill: Book of Memories;Oddworld: New 'n' Tasty;Zero Escape: Virtue's Last Reward;Borderlands 2;Ys: Memories of Celceta;Call of Duty: Black Ops Declassified;;;
381;Dragon Age: Inquisition;http://assets1.ignimgs.com/2014/04/21/dragonageinquisitionboxjpg-a29905_160h.jpg;RPG;PS3 Xbox One PS4 Xbox 360;Electronic;Final Fantasy X / X-2 HD Remaster;Final Fantasy X / X-2 HD Remaster;Lightning Returns: Final Fantasy XIII;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
382;Metroid Fusion;http://dsmedia.ign.com/ds/image/object/114/114470/3DSVirtualConsoleMetroidFusionboxart_160h.jpg;Action;Wii U GBA 3DS;Nintendo;Batman: Arkham Origins;Watch Dogs;The Amazing Spider-Man 2;Assassin's Creed III;Oddworld: Stranger's Wrath HD;Assassin's Creed IV: Black Flag;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins
383;Dragon Age: Inquisition;http://assets1.ignimgs.com/2014/04/21/dragonageinquisitionboxjpg-a29905_160h.jpg;RPG;Xbox One PS3 PS4 Xbox 360;Electronic;Child of Light;The Witcher 3: Wild Hunt;Lords of the Fallen;Halo 5: Guardians;Titanfall;Killer Instinct;;;
384;Dead Space 3;http://pspmedia.ign.com/ps-vita/image/object/022/022617/dead_space_360_mboxart_160h.jpg;Action;Xbox 360 PS3 PC;Electronic;Watch Dogs;Diablo III;Assassin's Creed III;Assassin's Creed III;Resident Evil 6;Valiant Hearts: The Great War;Watch Dogs;Diablo III;Borderlands 2
385;Metroid Fusion;http://dsmedia.ign.com/ds/image/object/114/114470/3DSVirtualConsoleMetroidFusionboxart_160h.jpg;Action;3DS Wii U GBA;Nintendo;Kingdom Hearts 3D: Dream Drop Distance;Castlevania: Lords of Shadow -- Mirror of Fate;The Amazing Spider-Man 2;Kingdom Hearts 3D: Dream Drop Distance;The Legend of Zelda: Ocarina of Time 3D;Disney Epic Mickey: Power of Illusion;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default
386;Dragon Age: Inquisition;http://assets1.ignimgs.com/2014/04/21/dragonageinquisitionboxjpg-a29905_160h.jpg;RPG;PS4 PS3 Xbox One Xbox 360;Electronic;Child of Light;The Witcher 3: Wild Hunt;Final Fantasy XIV Online: A Realm Reborn;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
387;Paper Mario: Sticker Star;http://dsmedia.ign.com/ds/image/object/077/077808/PaperMarioStickerStar3DSBoxartFinalboxart_160h.jpg;RPG;3DS;Nintendo;Bravely Default;Bravely Default;Pokemon Alpha Sapphire Version;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
388;Child of Light;http://assets2.ignimgs.com/2013/09/10/childoflightps3jpg-e94618_160h.jpg;RPG;PS3 PS4 Wii U Xbox One Xbox 360 Vita;Ubisoft;Final Fantasy X / X-2 HD Remaster;Final Fantasy X / X-2 HD Remaster;Lightning Returns: Final Fantasy XIII;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
389;Beyond: Two Souls;http://assets1.ignimgs.com/2013/09/13/beyondtwosoulsm1jpg-e9478c_160h.jpg;Adventure;PS3;Sony;The Last Guardian;Murdered: Soul Suspect;The Evil Within;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
390;Pokemon Alpha Sapphire Version;http://assets2.ignimgs.com/2014/05/07/pokemon-alpha-sapphire-us-rp-3dsjpg-9ab042_160h.jpg;RPG;3DS;Nintendo;Bravely Default;Bravely Default;Paper Mario: Sticker Star;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
391;Child of Light;http://assets2.ignimgs.com/2013/09/10/childoflightps4jpg-e9461b_160h.jpg;RPG;PS4 PS3 Wii U Xbox One Xbox 360 Vita;Ubisoft;Dragon Age: Inquisition;The Witcher 3: Wild Hunt;Final Fantasy XIV Online: A Realm Reborn;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
392;The Witness;http://media.ign.com/games/image/object/023/023514/The-Witness_POSTERboxart_160h.jpg;Puzzle;iPad PS4 PC;TBA;World of Goo;Plants vs. Zombies HD;Osmos;Magic 2015 -- Duels of the Planewalkers;The Walking Dead: A Telltale Game Series -- Season One;Infinity Blade: Dungeons;;;
393;The Last Guardian;http://ps3media.ign.com/ps3/image/object/142/14230646/TEAMICO3_PS3BOX-tempboxart_160h.jpg;Adventure;PS3;Sony;Beyond: Two Souls;Murdered: Soul Suspect;The Evil Within;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
394;Pokemon Omega Ruby Version;http://assets1.ignimgs.com/2014/05/07/pokemon-omega-ruby-us-rp-3dsjpg-a2a1aa_160h.jpg;RPG;3DS;Nintendo;Bravely Default;Bravely Default;Paper Mario: Sticker Star;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
395;Child of Light;http://assets1.ignimgs.com/2013/09/10/childoflightwiujpg-e94626_160h.jpg;RPG;Wii U PS3 PS4 Xbox One Xbox 360 Vita;Ubisoft;Mass Effect 3;Citizens of Earth;Dragon Quest X: The Five Awakening Races Online;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins;;;
396;Kingdom Hearts: Re:coded;http://wiimedia.ign.com/wii/image/object/143/14354710/kingdom_hearts_recoded_dsboxart_160h.jpg;Action;NDS Cell;Square;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Kingdom Hearts 358/2 Days;Pokemon Conquest;Kingdom Hearts 358/2 Days;Mario & Luigi: Bowser's Inside Story;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
397;N.O.V.A. 2: Near Orbit Vanguard Alliance;http://media.ign.com/games/image/object/088/088588/NOVA-2_iOSboxart_160h.jpg;Shooter;iPhone iPad;Gameloft;Tales from the Borderlands;Modern Combat 5;Trigger Fist;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
398;Child of Light;http://assets2.ignimgs.com/2013/09/10/childoflightpcjpg-883292_160h.jpg;RPG;PC PS3 PS4 Wii U Xbox 360 Vita;Ubisoft;Guild Wars 2;Dragon Age: Inquisition;WildStar;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
399;Animal Crossing: New Leaf;http://media.ign.com/games/image/object/077/077803/animalcrossinge1boxart_160h.jpg;Simulation;3DS;Nintendo;Tomodachi Life;RollerCoaster Tycoon 3D;Story of Seasons;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
400;Trigger Fist;;Shooter;iPhone;;Tales from the Borderlands;Modern Combat 5;N.O.V.A. 2: Near Orbit Vanguard Alliance;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
401;Metroid Prime: Hunters;http://dsmedia.ign.com/ds/image/object/682/682835/metroid_packboxart_160h.jpg;Action;NDS;Nintendo;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Kingdom Hearts 358/2 Days;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Castlevania: Dawn of Sorrow;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
402;Child of Light;http://assets2.ignimgs.com/2013/09/10/childoflightxblajpg-e9461a_160h.jpg;RPG;Xbox 360 PS3 PS4 Wii U PC Vita;Ubisoft;The Elder Scrolls V: Skyrim -- Dawnguard;Mass Effect 3;The Elder Scrolls V: Skyrim;Watch Dogs;Diablo III;Borderlands 2;;;
403;The Legend of Zelda: Skyward Sword (Game & Controller Bundle);http://pcmedia.ign.com/pc/image/object/116/116779/skyward_sword_remote_final1boxart_160h.jpg;Action;Wii;Nintendo;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;Super Paper Mario;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;Metroid: Other M;The Last Story;The Legend of Zelda: Twilight Princess;Kirby's Dream Collection: Special Edition
404;The Witcher 3: Wild Hunt;http://assets1.ignimgs.com/2014/04/01/plpegiw32dxoneboxshotjpg-e3205f_160h.jpg;RPG;Xbox One PS4 PC;CD;Child of Light;Dragon Age: Inquisition;Lords of the Fallen;Halo 5: Guardians;Titanfall;Killer Instinct;;;
405;Castlevania: Dawn of Sorrow;http://dsmedia.ign.com/ds/image/object/695/695639/castlevaniads_box_072905boxart_160h.jpg;Action;NDS Cell;Konami;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Kingdom Hearts 358/2 Days;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Metroid Prime: Hunters;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
406;Disney Epic Mickey 2: The Power of Two;http://wiimedia.ign.com/wii/image/object/125/125834/epic_mickeywii11boxart_160h.jpg;Action;Wii Wii U PS3 PC Mac Vita;Disney;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Super Paper Mario;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Metroid: Other M;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess
407;Ragnarok Odyssey;http://xbox360media.ign.com/xbox360/image/object/117/117348/ragodyssey_vita1boxart_160h.jpg;RPG;Vita;Xseed;Child of Light;Persona 4 Golden;New Little King's Story;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
408;The Witcher 3: Wild Hunt;http://assets1.ignimgs.com/2014/04/01/esrbw32dps4boxshotjpg-0a5b0c_160h.jpg;RPG;PS4 Xbox One PC;CD;Child of Light;Dragon Age: Inquisition;Final Fantasy XIV Online: A Realm Reborn;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
409;Never Alone;http://assets1.ignimgs.com/2014/05/08/never-alone-button-02jpg-a2a2be_160h.jpg;Puzzle;Xbox One PS4 PC;Upper;Valiant Hearts: The Great War;Tetris 2014;Mortar Melon;Halo 5: Guardians;Titanfall;Killer Instinct;;;
410;Super Paper Mario;http://media.gamestats.com/gg/image/object/853/853822/supersuperpapermariowiicopyboxart_160h.jpg;Action;Wii GCN;Nintendo;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
411;Tom Clancy's The Division;http://assets1.ignimgs.com/2013/06/13/tom-clancys-the-divisiongeneraljpg-50eafd_160h.jpg;Shooter;Xbox One PC PS4;Ubisoft;Halo 5: Guardians;Titanfall;Evolve;Halo 5: Guardians;Titanfall;Killer Instinct;;;
412;Borderlands 2;;Shooter;Mac Xbox 360 PC PS3;2K;Tales from the Borderlands;Spec Ops: The Line;The Bureau: XCOM Declassified;Diablo III;The Incredible Adventures of Van Helsing;Borderlands;Tomb Raider;Tales from the Borderlands;Among the Sleep
